Comment,Designator,Footprint,LCSC Part #
1R/0.5W,R5 R12 R19 R26 R33,R1206,C880596
3k,R7 R14 R21 R28 R35,R0603,C4211
4k7,R39,R0603,C23162
4u7/50V,C29 C30,C1210,C880822
10k,R2 R9 R16 R23 R30 R38,R0603,C25804
10n,C1 C2 C3 C4 C6 C7 C8 C9 C11 C12 C13 C14 C16 C17 C18 C19 C21 C22 C23 C24,C0603,C57112
18k,R3 R4 R10 R11 R17 R18 R24 R25 R31 R32,R0603,C25810
22u/16V,C5 C10 C15 C20 C25,SMC_B,C55530
33k,R36,R0603,C4216
22u/16V,C27 C28,C1210,C2180585
100,R1 R8 R15 R22 R29,R0603,C5123610
100k,R37,R0603,C25803
100n,C31,C0603,C57112
100n/50V,C26,C0805,C710626
330k,R6 R13 R20 R27 R34,R0603,C23137
53261-04,X2,53261-04,C240847
53261-06,X5 X6 X7 X8 X9 X10,53261-06,C99277
B340A-13-F,D2 D3,DO214AC,C85098
IHLP5050EZER100M01,L1,INDPM132129X500N,C845094
LED gn,D4,CHIPLED_0603_NOOUTLINE,C2286
LMR51450SDRRR,IC6,SON50P300X300X80-13N,C6890985
SMBJ45,D1,SMBJ,C440304
STSPIN233,IC1 IC2 IC3 IC4 IC5,QFN50P300X300X100-17N,C2653468
